"Contract ID","Plan ID","Organization Type","Plan Type","Offers Part D","SNP Plan","EGHP","Organization Name","Organization Marketing Name","Plan Name","Parent Organization","Contract Effective Date"
"H0105","001","National PACE","National PACE","Yes","No","No","THE METHODIST OAKS","The Methodist Oaks d.b.a. The Oaks PACE","The Methodist Oaks d.b.a. The Oaks PACE (PACE)","The Methodist Oaks",03/01/2008 0:00:00
"H0105","002","National PACE","National PACE","Yes","No","No","THE METHODIST OAKS","The Methodist Oaks d.b.a. The Oaks PACE","The Methodist Oaks d.b.a. The Oaks PACE (PACE)","The Methodist Oaks",03/01/2008 0:00:00
"H0107","001","Local CCP","Local PPO","Yes","No","No","HEALTH CARE SERVICE CORPORATION","Blue Cross and Blue Shield of Montana","Blue Cross Medicare Advantage Choice Plus (PPO)","Health Care Service Corporation",01/01/2014 0:00:00
"H0107","002","Local CCP","Local PPO","Yes","No","No","HEALTH CARE SERVICE CORPORATION","Blue Cross and Blue Shield of Montana","Blue Cross Medicare Advantage Choice Premier (PPO)","Health Care Service Corporation",01/01/2014 0:00:00
"H0107","801","Local CCP","Local PPO","Yes","No","Yes","HEALTH CARE SERVICE CORPORATION","Blue Cross and Blue Shield of Montana","Blue Cross Medicare Advantage Employer Ideal (PPO)","Health Care Service Corporation",01/01/2014 0:00:00
"H0107","802","Local CCP","Local PPO","Yes","No","Yes","HEALTH CARE SERVICE CORPORATION","Blue Cross and Blue Shield of Montana","Blue Cross Medicare Advantage Employer Expanded (PPO)","Health Care Service Corporation",01/01/2014 0:00:00
"H0108","004","Local CCP","HMO/HMOPOS","Yes","No","No","HUMANA HEALTH PLAN OF CALIFORNIA, INC.","Humana Health Plan of California, Inc.","Humana Gold Plus H0108-004 (HMO)","Humana Inc.",01/01/2010 0:00:00
"H0108","005","Local CCP","HMO/HMOPOS","Yes","No","No","HUMANA HEALTH PLAN OF CALIFORNIA, INC.","Humana Health Plan of California, Inc.","Humana Gold Plus H0108-005 (HMO)","Humana Inc.",01/01/2010 0:00:00
"H0108","006","Local CCP","HMO/HMOPOS","Yes","No","No","HUMANA HEALTH PLAN OF CALIFORNIA, INC.","Humana Health Plan of California, Inc.","Humana Gold Plus H0108-006 (HMO)","Humana Inc.",01/01/2010 0:00:00
"H0108","008","Local CCP","HMO/HMOPOS","Yes","No","No","HUMANA HEALTH PLAN OF CALIFORNIA, INC.","Humana Health Plan of California, Inc.","Humana Gold Plus H0108-008 (HMO)","Humana Inc.",01/01/2010 0:00:00
"H0108","009","Local CCP","HMO/HMOPOS","Yes","No","No","HUMANA HEALTH PLAN OF CALIFORNIA, INC.","Humana Health Plan of California, Inc.","Humana Gold Plus H0108-009 (HMO)","Humana Inc.",01/01/2010 0:00:00
"H0108","010","Local CCP","HMO/HMOPOS","Yes","No","No","HUMANA HEALTH PLAN OF CALIFORNIA, INC.","Humana Health Plan of California, Inc.","Humana Gold Plus H0108-010 (HMO)","Humana Inc.",01/01/2010 0:00:00
"H0108","011","Local CCP","HMO/HMOPOS","Yes","No","No","HUMANA HEALTH PLAN OF CALIFORNIA, INC.","Humana Health Plan of California, Inc.","Humana Gold Plus H0108-011 (HMO)","Humana Inc.",01/01/2010 0:00:00
"H0108","021","Local CCP","HMO/HMOPOS","Yes","No","No","HUMANA HEALTH PLAN OF CALIFORNIA, INC.","Humana Health Plan of California, Inc.","Humana Gold Plus H0108-021 (HMO)","Humana Inc.",01/01/2010 0:00:00
"H0108","022","Local CCP","HMO/HMOPOS","Yes","No","No","HUMANA HEALTH PLAN OF CALIFORNIA, INC.","Humana Health Plan of California, Inc.","Humana Gold Plus H0108-022 (HMO)","Humana Inc.",01/01/2010 0:00:00
"H0108","023","Local CCP","HMO/HMOPOS","Yes","No","No","HUMANA HEALTH PLAN OF CALIFORNIA, INC.","Humana Health Plan of California, Inc.","Humana Gold Plus H0108-023 (HMO)","Humana Inc.",01/01/2010 0:00:00
"H0108","024","Local CCP","HMO/HMOPOS","Yes","No","No","HUMANA HEALTH PLAN OF CALIFORNIA, INC.","Humana Health Plan of California, Inc.","Humana Gold Plus H0108-024 (HMO)","Humana Inc.",01/01/2010 0:00:00
"H0108","025","Local CCP","HMO/HMOPOS","Yes","No","No","HUMANA HEALTH PLAN OF CALIFORNIA, INC.","Humana Health Plan of California, Inc.","Humana Gold Plus H0108-025 (HMO)","Humana Inc.",01/01/2010 0:00:00
"H0108","026","Local CCP","HMO/HMOPOS","Yes","No","No","HUMANA HEALTH PLAN OF CALIFORNIA, INC.","Humana Health Plan of California, Inc.","Humana Gold Plus H0108-026 (HMO)","Humana Inc.",01/01/2010 0:00:00
"H0108","027","Local CCP","HMO/HMOPOS","Yes","No","No","HUMANA HEALTH PLAN OF CALIFORNIA, INC.","Humana Health Plan of California, Inc.","Humana Gold Plus H0108-027 (HMO)","Humana Inc.",01/01/2010 0:00:00
"H0108","028","Local CCP","HMO/HMOPOS","Yes","No","No","HUMANA HEALTH PLAN OF CALIFORNIA, INC.","Humana Health Plan of California, Inc.","Humana Gold Plus H0108-028 (HMO)","Humana Inc.",01/01/2010 0:00:00
"H0108","029","Local CCP","HMO/HMOPOS","No","No","No","HUMANA HEALTH PLAN OF CALIFORNIA, INC.","Humana Health Plan of California, Inc.","Humana Gold Plus H0108-029 (HMO)","Humana Inc.",01/01/2010 0:00:00
"H0108","034","Local CCP","HMO/HMOPOS","Yes","No","No","HUMANA HEALTH PLAN OF CALIFORNIA, INC.","Humana Health Plan of California, Inc.","Humana Gold Plus H0108-034 (HMO)","Humana Inc.",01/01/2010 0:00:00
"H0108","035","Local CCP","HMO/HMOPOS","Yes","No","No","HUMANA HEALTH PLAN OF CALIFORNIA, INC.","Humana Health Plan of California, Inc.","Humana Gold Plus H0108-035 (HMO)","Humana Inc.",01/01/2010 0:00:00
"H0108","037","Local CCP","HMO/HMOPOS","Yes","No","No","HUMANA HEALTH PLAN OF CALIFORNIA, INC.","Humana Health Plan of California, Inc.","Humana Gold Plus H0108-037 (HMO)","Humana Inc.",01/01/2010 0:00:00
"H0108","038","Local CCP","HMO/HMOPOS","Yes","No","No","HUMANA HEALTH PLAN OF CALIFORNIA, INC.","Humana Health Plan of California, Inc.","Humana Gold Plus H0108-038 (HMO)","Humana Inc.",01/01/2010 0:00:00
"H0108","039","Local CCP","HMO/HMOPOS","Yes","No","No","HUMANA HEALTH PLAN OF CALIFORNIA, INC.","Humana Health Plan of California, Inc.","Humana Gold Plus H0108-039 (HMO)","Humana Inc.",01/01/2010 0:00:00
"H0108","041","Local CCP","HMO/HMOPOS","Yes","No","No","HUMANA HEALTH PLAN OF CALIFORNIA, INC.","Humana Health Plan of California, Inc.","Humana Gold Plus H0108-041 (HMO)","Humana Inc.",01/01/2010 0:00:00
"H0108","045","Local CCP","HMO/HMOPOS","Yes","No","No","HUMANA HEALTH PLAN OF CALIFORNIA, INC.","Humana Health Plan of California, Inc.","Humana Gold Plus H0108-045 (HMO)","Humana Inc.",01/01/2010 0:00:00
"H0108","046","Local CCP","HMO/HMOPOS","Yes","No","No","HUMANA HEALTH PLAN OF CALIFORNIA, INC.","Humana Health Plan of California, Inc.","Humana Gold Plus H0108-046 (HMO)","Humana Inc.",01/01/2010 0:00:00
"H0108","047","Local CCP","HMO/HMOPOS","Yes","No","No","HUMANA HEALTH PLAN OF CALIFORNIA, INC.","Humana Health Plan of California, Inc.","Humana Gold Plus H0108-047 (HMO)","Humana Inc.",01/01/2010 0:00:00
"H0108","048","Local CCP","HMO/HMOPOS","Yes","Yes","No","HUMANA HEALTH PLAN OF CALIFORNIA, INC.","Humana Health Plan of California, Inc.","Humana Gold Plus SNP-DE H0108-048 (HMO SNP)","Humana Inc.",01/01/2010 0:00:00
"H0108","050","Local CCP","HMO/HMOPOS","Yes","No","No","HUMANA HEALTH PLAN OF CALIFORNIA, INC.","Humana Health Plan of California, Inc.","Humana Gold Plus H0108-050 (HMO)","Humana Inc.",01/01/2010 0:00:00
"H0108","054","Local CCP","HMO/HMOPOS","Yes","No","No","HUMANA HEALTH PLAN OF CALIFORNIA, INC.","Humana Health Plan of California, Inc.","Humana Gold Plus H0108-054 (HMO)","Humana Inc.",01/01/2010 0:00:00
"H0108","055","Local CCP","HMO/HMOPOS","Yes","No","No","HUMANA HEALTH PLAN OF CALIFORNIA, INC.","Humana Health Plan of California, Inc.","Humana Gold Plus H0108-055 (HMO)","Humana Inc.",01/01/2010 0:00:00
"H0108","056","Local CCP","HMO/HMOPOS","Yes","No","No","HUMANA HEALTH PLAN OF CALIFORNIA, INC.","Humana Health Plan of California, Inc.","Humana Gold Plus H0108-056 (HMO)","Humana Inc.",01/01/2010 0:00:00
"H0108","057","Local CCP","HMO/HMOPOS","Yes","No","No","HUMANA HEALTH PLAN OF CALIFORNIA, INC.","Humana Health Plan of California, Inc.","Humana Gold Plus H0108-057 (HMO)","Humana Inc.",01/01/2010 0:00:00
"H0108","058","Local CCP","HMO/HMOPOS","Yes","No","No","HUMANA HEALTH PLAN OF CALIFORNIA, INC.","Humana Health Plan of California, Inc.","Humana Gold Plus H0108-058 (HMO)","Humana Inc.",01/01/2010 0:00:00
"H0108","059","Local CCP","HMO/HMOPOS","Yes","No","No","HUMANA HEALTH PLAN OF CALIFORNIA, INC.","Humana Health Plan of California, Inc.","Humana Gold Plus H0108-059 (HMO)","Humana Inc.",01/01/2010 0:00:00
"H0108","801","Local CCP","HMO/HMOPOS","Yes","No","Yes","HUMANA HEALTH PLAN OF CALIFORNIA, INC.","Humana Health Plan of California, Inc.","Humana Medicare Employer (HMO)","Humana Inc.",01/01/2010 0:00:00
"H0108","802","Local CCP","HMO/HMOPOS","No","No","Yes","HUMANA HEALTH PLAN OF CALIFORNIA, INC.","Humana Health Plan of California, Inc.","Humana Medicare Employer (HMO)","Humana Inc.",01/01/2010 0:00:00
"H0112","001","National PACE","National PACE","Yes","No","No","MORSE LIFE HOME CARE, INC.","Palm Beach PACE","Palm Beach PACE (PACE)","Morse Life Home Care, Inc.",11/01/2013 0:00:00
"H0112","002","National PACE","National PACE","Yes","No","No","MORSE LIFE HOME CARE, INC.","Palm Beach PACE","Palm Beach PACE (PACE)","Morse Life Home Care, Inc.",11/01/2013 0:00:00
"H0137","001","Demo","Medicare-Medicaid Plan HMO/HMOPOS","Yes","No","No","COMMONWEALTH CARE ALLIANCE, INC.","Commonwealth Care Alliance, Inc.","Commonwealth Care Alliance (Medicare-Medicaid Plan)","Commonwealth Care Alliance, Inc.",10/01/2013 0:00:00
"H0141","004","Local CCP","HMO/HMOPOS","Yes","No","No","MCLAREN HEALTH PLAN, INC.","McLarenAdvantage","McLaren Advantage Diamond (HMO)","McLaren Health Care Corporation",01/01/2008 0:00:00
"H0141","005","Local CCP","HMO/HMOPOS","Yes","No","No","MCLAREN HEALTH PLAN, INC.","McLarenAdvantage","McLaren Advantage Sapphire (HMO)","McLaren Health Care Corporation",01/01/2008 0:00:00
"H0147","001","Demo","Medicare-Medicaid Plan HMO/HMOPOS","Yes","No","No","HEALTHKEEPERS, INC.","Anthem HealthKeepers","HealthKeepers (Medicare-Medicaid Plan)","Anthem Inc.",04/01/2014 0:00:00
"H0148","001","Demo","Medicare-Medicaid Plan HMO/HMOPOS","Yes","No","No","CARE1ST HEALTH PLAN","Care1st Health Plan","Care1st Cal MediConnect Plan (Medicare-Medicaid Plan)","Care1st Health Plan",04/01/2014 0:00:00
"H0148","002","Demo","Medicare-Medicaid Plan HMO/HMOPOS","Yes","No","No","CARE1ST HEALTH PLAN","Care1st Health Plan","Care1st Cal MediConnect Plan (Medicare-Medicaid Plan)","Care1st Health Plan",04/01/2014 0:00:00
"H0150","007","Local CCP","HMO/HMOPOS","Yes","Yes","No","HEALTHSPRING OF ALABAMA, INC.","Cigna-HealthSpring","Cigna-HealthSpring TotalCare (HMO SNP)","CIGNA",03/01/1994 0:00:00
"H0150","012","Local CCP","HMO/HMOPOS","No","No","No","HEALTHSPRING OF ALABAMA, INC.","Cigna-HealthSpring","Cigna-HealthSpring Advantage (HMO)","CIGNA",03/01/1994 0:00:00
"H0150","024","Local CCP","HMO/HMOPOS","Yes","No","No","HEALTHSPRING OF ALABAMA, INC.","Cigna-HealthSpring","Cigna-HealthSpring Preferred (HMO)","CIGNA",03/01/1994 0:00:00
"H0150","804","Local CCP","HMO/HMOPOS","Yes","No","Yes","HEALTHSPRING OF ALABAMA, INC.","Cigna-HealthSpring","Cigna-HealthSpring Preferred Rx CY (HMO)","CIGNA",03/01/1994 0:00:00
"H0150","808","Local CCP","HMO/HMOPOS","Yes","No","Yes","HEALTHSPRING OF ALABAMA, INC.","Cigna-HealthSpring","Cigna-HealthSpring Premier Rx CY (HMO-POS)","CIGNA",03/01/1994 0:00:00
"H0150","809","Local CCP","HMO/HMOPOS","No","No","Yes","HEALTHSPRING OF ALABAMA, INC.","Cigna-HealthSpring","Cigna-HealthSpring Preferred FY (HMO)","CIGNA",03/01/1994 0:00:00
"H0150","810","Local CCP","HMO/HMOPOS","Yes","No","Yes","HEALTHSPRING OF ALABAMA, INC.","Cigna-HealthSpring","Cigna-HealthSpring Preferred Rx FY (HMO)","CIGNA",03/01/1994 0:00:00
"H0150","811","Local CCP","HMO/HMOPOS","No","No","Yes","HEALTHSPRING OF ALABAMA, INC.","Cigna-HealthSpring","Cigna-HealthSpring Premier FY (HMO-POS)","CIGNA",03/01/1994 0:00:00
"H0150","812","Local CCP","HMO/HMOPOS","Yes","No","Yes","HEALTHSPRING OF ALABAMA, INC.","Cigna-HealthSpring","Cigna-HealthSpring Premier Rx FY (HMO-POS)","CIGNA",03/01/1994 0:00:00
"H0151","001","Local CCP","HMO/HMOPOS","Yes","No","No","UNITEDHEALTHCARE OF ALABAMA, INC.","UnitedHealthcare","AARP MedicareComplete Plan 1 (HMO)","UnitedHealth Group, Inc.",02/01/1995 0:00:00
"H0151","015","Local CCP","HMO/HMOPOS","Yes","Yes","No","UNITEDHEALTHCARE OF ALABAMA, INC.","UnitedHealthcare","UnitedHealthcare Dual Complete (HMO SNP)","UnitedHealth Group, Inc.",02/01/1995 0:00:00
"H0151","025","Local CCP","HMO/HMOPOS","Yes","No","No","UNITEDHEALTHCARE OF ALABAMA, INC.","UnitedHealthcare","AARP MedicareComplete Plan 2 (HMO)","UnitedHealth Group, Inc.",02/01/1995 0:00:00
"H0151","801","Local CCP","HMO/HMOPOS","Yes","No","Yes","UNITEDHEALTHCARE OF ALABAMA, INC.","UnitedHealthcare","UnitedHealthcare Group Medicare Advantage (HMO)","UnitedHealth Group, Inc.",02/01/1995 0:00:00
"H0151","804","Local CCP","HMO/HMOPOS","Yes","No","Yes","UNITEDHEALTHCARE OF ALABAMA, INC.","UnitedHealthcare","UnitedHealthcare Group Medicare Advantage (HMO)","UnitedHealth Group, Inc.",02/01/1995 0:00:00
"H0151","805","Local CCP","HMO/HMOPOS","No","No","Yes","UNITEDHEALTHCARE OF ALABAMA, INC.","UnitedHealthcare","UnitedHealthcare Group Medicare Advantage (HMO)","UnitedHealth Group, Inc.",02/01/1995 0:00:00
"H0154","001","Local CCP","HMO/HMOPOS","Yes","No","No","VIVA HEALTH, INC.","VIVA Medicare","VIVA Medicare Plus (HMO)","UAB Health System",05/01/1998 0:00:00
"H0154","008","Local CCP","HMO/HMOPOS","No","No","No","VIVA HEALTH, INC.","VIVA Medicare","VIVA Medicare Select (HMO)","UAB Health System",05/01/1998 0:00:00
"H0154","011","Local CCP","HMO/HMOPOS","Yes","No","No","VIVA HEALTH, INC.","VIVA Medicare","VIVA Medicare Premier (HMO)","UAB Health System",05/01/1998 0:00:00
"H0154","012","Local CCP","HMO/HMOPOS","Yes","Yes","No","VIVA HEALTH, INC.","VIVA Medicare","VIVA Medicare Extra Value (HMO SNP)","UAB Health System",05/01/1998 0:00:00
"H0154","014","Local CCP","HMO/HMOPOS","Yes","No","No","VIVA HEALTH, INC.","VIVA Medicare","VIVA Medicare Me (HMO)","UAB Health System",05/01/1998 0:00:00
"H0154","801","Local CCP","HMO/HMOPOS","Yes","No","Yes","VIVA HEALTH, INC.","VIVA Medicare","VIVA Medicare Group Plan with Rx (CY) (HMO)","UAB Health System",05/01/1998 0:00:00
"H0154","802","Local CCP","HMO/HMOPOS","No","No","Yes","VIVA HEALTH, INC.","VIVA Medicare","VIVA Medicare Group Plan (no Rx) (HMO)","UAB Health System",05/01/1998 0:00:00
"H0154","803","Local CCP","HMO/HMOPOS","Yes","No","Yes","VIVA HEALTH, INC.","VIVA Medicare","VIVA Medicare Plus Group Plan with Rx (not CY) (HMO)","UAB Health System",05/01/1998 0:00:00
"H0192","001","Demo","Medicare-Medicaid Plan HMO/HMOPOS","Yes","No","No","AMERIHEALTH MICHIGAN, INC.","Amerihealth VIP Care Plus","AmeriHealth VIP Care PLUS (Medicare-Medicaid Plan)","Independence Blue Cross",
"H0216","001","National PACE","National PACE","Yes","No","No","PACE IOWA","Immanuel Pathways","PACE Iowa (PACE)","Immanuel",01/01/2012 0:00:00
"H0216","002","National PACE","National PACE","Yes","No","No","PACE IOWA","Immanuel Pathways","PACE Iowa (PACE)","Immanuel",01/01/2012 0:00:00
"H0251","002","Local CCP","HMO/HMOPOS","Yes","Yes","No","UNITEDHEALTHCARE PLAN OF THE RIVER VALLEY, INC.","UnitedHealthcare Community Plan","UnitedHealthcare Dual Complete (HMO SNP)","UnitedHealth Group, Inc.",01/01/2007 0:00:00
"H0281","001","Demo","Medicare-Medicaid Plan HMO/HMOPOS","Yes","No","No","ILLINICARE HEALTH PLAN","IlliniCare Health","IlliniCare Health - MMAI (Medicare-Medicaid Plan)","Centene Corporation",02/01/2014 0:00:00
"H0294","002","Local CCP","Local PPO","Yes","Yes","No","CARE IMPROVEMENT PLUS WISCONSIN INSURANCE COMPANY","Care Improvement Plus","Care Improvement Plus Gold Rx (PPO SNP)","UnitedHealth Group, Inc.",01/01/2012 0:00:00
"H0294","004","Local CCP","Local PPO","Yes","No","No","CARE IMPROVEMENT PLUS WISCONSIN INSURANCE COMPANY","Care Improvement Plus","Care Improvement Plus Medicare Advantage (PPO)","UnitedHealth Group, Inc.",01/01/2012 0:00:00
"H0294","006","Local CCP","Local PPO","Yes","Yes","No","CARE IMPROVEMENT PLUS WISCONSIN INSURANCE COMPANY","Care Improvement Plus","Care Improvement Plus Dual Advantage (PPO SNP)","UnitedHealth Group, Inc.",01/01/2012 0:00:00
"H0302","001","Local CCP","HMO/HMOPOS","Yes","No","No","MEDISUN, INC.","Blue Cross Blue Shield of Arizona Advantage","Blue Medicare Advantage Plus (HMO)","Veritage, LLC",08/01/1999 0:00:00
"H0302","006","Local CCP","HMO/HMOPOS","Yes","No","No","MEDISUN, INC.","Blue Cross Blue Shield of Arizona Advantage","Blue Medicare Advantage Classic (HMO)","Veritage, LLC",08/01/1999 0:00:00
"H0302","007","Local CCP","HMO/HMOPOS","Yes","No","No","MEDISUN, INC.","Blue Cross Blue Shield of Arizona Advantage","Blue Medicare Advantage Premier (HMO)","Veritage, LLC",08/01/1999 0:00:00
"H0302","008","Local CCP","HMO/HMOPOS","Yes","No","No","MEDISUN, INC.","Blue Cross Blue Shield of Arizona Advantage","Blue Medicare Advantage Classic (HMO)","Veritage, LLC",08/01/1999 0:00:00
"H0302","801","Local CCP","HMO/HMOPOS","No","No","Yes","MEDISUN, INC.","Blue Cross Blue Shield of Arizona Advantage","Blue Medicare Advantage Employer Plan (HMO)","Veritage, LLC",08/01/1999 0:00:00
"H0303","013","Local CCP","HMO/HMOPOS","Yes","No","No","PACIFICARE OF ARIZONA, INC.","UnitedHealthcare","AARP MedicareComplete Plan 1 (HMO)","UnitedHealth Group, Inc.",04/01/1986 0:00:00
"H0303","015","Local CCP","HMO/HMOPOS","Yes","No","No","PACIFICARE OF ARIZONA, INC.","UnitedHealthcare","AARP MedicareComplete (HMO)","UnitedHealth Group, Inc.",04/01/1986 0:00:00
"H0303","801","Local CCP","HMO/HMOPOS","No","No","Yes","PACIFICARE OF ARIZONA, INC.","UnitedHealthcare","UnitedHealthcare Group Medicare Advantage (HMO)","UnitedHealth Group, Inc.",04/01/1986 0:00:00
"H0303","804","Local CCP","HMO/HMOPOS","Yes","No","Yes","PACIFICARE OF ARIZONA, INC.","UnitedHealthcare","UnitedHealthcare Group Medicare Advantage (HMO)","UnitedHealth Group, Inc.",04/01/1986 0:00:00
"H0303","805","Local CCP","HMO/HMOPOS","Yes","No","Yes","PACIFICARE OF ARIZONA, INC.","UnitedHealthcare","UnitedHealthcare Group Medicare Advantage (HMO)","UnitedHealth Group, Inc.",04/01/1986 0:00:00
"H0316","002","Local CCP","HMO/HMOPOS","Yes","No","No","UNITEDHEALTHCARE OF ARIZONA, INC.","UnitedHealthcare","AARP MedicareComplete Plus (HMO-POS)","UnitedHealth Group, Inc.",09/01/2004 0:00:00
"H0316","014","Local CCP","HMO/HMOPOS","Yes","No","No","UNITEDHEALTHCARE OF ARIZONA, INC.","UnitedHealthcare","AARP MedicareComplete (HMO)","UnitedHealth Group, Inc.",09/01/2004 0:00:00
"H0316","801","Local CCP","HMO/HMOPOS","Yes","No","Yes","UNITEDHEALTHCARE OF ARIZONA, INC.","UnitedHealthcare","UnitedHealthcare Group Medicare Advantage (HMO)","UnitedHealth Group, Inc.",09/01/2004 0:00:00
"H0316","804","Local CCP","HMO/HMOPOS","Yes","No","Yes","UNITEDHEALTHCARE OF ARIZONA, INC.","UnitedHealthcare","UnitedHealthcare Group Medicare Advantage (HMO)","UnitedHealth Group, Inc.",09/01/2004 0:00:00
